2063,,,,,,,
12,,,,,,,
UID,Y,X,BEARING_ANGLE,SPEED_RESTRICTION,CAMERA_TYPE,DIR_TYPE,Version
1,21.955331,120.770048,135,60,1,1,2015Q2
2,21.965182,120.758696,315,70,1,1,2015Q2
3,21.973965,120.754449,180,70,1,1,2015Q2
4,22.04525,120.730445,135,70,1,1,2015Q2
5,22.04554,120.730139,315,70,1,1,2015Q2
6,22.072855,120.714041,180,50,6,1,2015Q2
7,22.144236,120.700458,45,60,6,1,2015Q2
8,22.262223,120.65307,0,60,1,1,2015Q2
9,22.294703,120.885135,90,60,1,1,2015Q2
10,22.294703,120.885163,225,60,1,1,2015Q2
11,22.302168,120.643425,0,70,1,1,2015Q2
12,22.302207,120.643418,180,70,1,1,2015Q2
13,22.323088,120.891818,180,70,1,1,2015Q2
14,22.33668,120.614487,180,70,1,1,2015Q2
15,22.364385,120.907688,225,60,1,1,2015Q2
16,22.36722,120.607894,180,70,1,1,2015Q2
17,22.38792,120.593866,180,50,1,1,2015Q2
18,22.417737,120.584046,180,70,1,1,2015Q2
19,22.418182,120.58391,0,70,1,1,2015Q2
20,22.422515,120.537025,135,70,1,1,2015Q2
21,22.439487,120.51083,315,70,1,1,2015Q2
22,22.440224,120.470175,315,40,1,1,2015Q2
23,22.440272,120.470085,135,40,1,1,2015Q2
24,22.441732,120.49344,270,40,1,1,2015Q2
25,22.456986,120.481914,270,70,1,1,2015Q2
26,22.461654,120.466475,90,70,1,1,2015Q2
27,22.480808,120.456842,0,50,1,1,2015Q2
28,22.487162,120.455507,0,70,1,1,2015Q2
29,22.48972,120.529559,90,50,1,1,2015Q2
30,22.492523,120.538876,135,70,6,1,2015Q2
31,22.499021,120.407061,270,60,6,1,2015Q2
32,22.500048,120.403798,90,60,6,1,2015Q2
33,22.500514,120.396303,90,60,1,1,2015Q2
34,22.502268,120.525462,135,110,1,1,2015Q2
35,22.505674,120.370679,135,60,1,1,2015Q2
36,22.510127,120.462228,180,60,6,1,2015Q2
37,22.510252,120.36303,315,60,1,1,2015Q2
38,22.510275,120.36219,90,40,1,1,2015Q2
39,22.510314,120.363083,315,40,1,1,2015Q2
40,22.51599,120.531017,180,70,6,1,2015Q2
41,22.516617,120.362549,225,60,1,1,2015Q2
42,22.521091,120.3468,315,40,6,1,2015Q2
43,22.521797,120.345683,135,40,6,1,2015Q2
44,22.5225,120.397428,225,60,6,1,2015Q2
45,22.524277,120.462901,0,60,1,1,2015Q2
46,22.524641,120.462886,180,70,1,1,2015Q2
47,22.531479,120.403681,45,70,1,1,2015Q2
48,22.531779,120.403847,225,70,1,1,2015Q2
49,22.53199,120.371282,45,60,1,1,2015Q2
50,22.532421,120.414865,225,60,1,1,2015Q2
51,22.534118,120.40533,45,70,6,1,2015Q2
52,22.5358,120.373289,0,60,1,1,2015Q2
53,22.537827,120.543639,45,70,1,1,2015Q2
54,22.5379,120.543832,225,70,1,1,2015Q2
55,22.540776,120.518907,0,50,1,1,2015Q2
56,22.541069,120.518735,180,50,1,1,2015Q2
57,22.541603,120.371644,135,60,1,1,2015Q2
58,22.545548,120.369013,315,60,1,1,2015Q2
59,22.547553,120.411489,225,70,1,1,2015Q2
60,22.551024,120.555636,180,70,6,1,2015Q2
61,22.551279,120.465826,45,70,1,1,2015Q2
62,22.5516,120.466009,225,60,1,1,2015Q2
63,22.558032,120.384809,225,50,6,1,2015Q2
64,22.559263,120.334677,225,30,6,1,2015Q2
65,22.560756,120.357442,315,60,6,1,2015Q2
66,22.561354,120.409281,90,50,6,1,2015Q2
67,22.561615,120.356553,135,60,6,1,2015Q2
68,22.561647,120.553783,315,70,6,1,2015Q2
69,22.561833,120.332292,315,60,1,1,2015Q2
70,22.561961,120.349126,315,50,1,1,2015Q2
71,22.562475,120.348669,135,50,1,1,2015Q2
72,22.564114,120.387963,315,50,6,1,2015Q2
73,22.565116,120.32951,315,50,1,1,2015Q2
74,22.565801,120.37067,180,50,1,1,2015Q2
75,22.566295,120.352692,315,60,1,1,2015Q2
76,22.569578,120.344283,90,60,1,1,2015Q2
77,22.569601,120.540607,225,60,6,1,2015Q2
78,22.569767,120.344291,270,60,1,1,2015Q2
79,22.56989,120.358758,270,50,1,1,2015Q2
80,22.570266,120.36204,225,50,1,1,2015Q2
81,22.570266,120.522444,270,90,1,1,2015Q2
82,22.570321,120.523019,45,90,1,1,2015Q2
83,22.570469,120.376697,315,50,1,1,2015Q2
84,22.572238,120.373472,315,50,1,1,2015Q2
85,22.572362,120.365062,45,50,1,1,2015Q2
86,22.572488,120.329059,180,50,1,1,2015Q2
87,22.572788,120.370574,90,50,1,1,2015Q2
88,22.574055,120.409973,180,70,6,1,2015Q2
89,22.574121,120.31802,315,50,1,1,2015Q2
90,22.574704,120.371261,0,50,1,1,2015Q2
91,22.576437,120.331779,225,50,1,1,2015Q2
92,22.579171,120.330051,135,60,1,1,2015Q2
93,22.579287,120.330226,315,60,1,1,2015Q2
94,22.57952,120.509951,315,70,1,1,2015Q2
95,22.580386,120.370999,180,50,1,1,2015Q2
96,22.58107,120.407385,0,70,6,1,2015Q2
97,22.581081,120.993219,45,70,1,1,2015Q2
98,22.582612,120.290933,135,60,1,1,2015Q2
99,22.583056,120.33475,90,50,6,1,2015Q2
100,22.583129,120.340548,270,50,1,1,2015Q2
101,22.584849,120.363428,270,60,1,1,2015Q2
102,22.584894,120.349713,270,50,1,1,2015Q2
103,22.586459,120.409244,90,90,1,1,2015Q2
104,22.586465,120.32928,225,60,1,1,2015Q2
105,22.586759,120.287337,135,60,1,1,2015Q2
106,22.587293,120.313669,180,50,1,1,2015Q2
107,22.587527,120.306569,315,50,1,1,2015Q2
108,22.587623,120.322901,135,60,1,1,2015Q2
109,22.587778,120.323092,315,60,1,1,2015Q2
110,22.589281,120.553541,225,70,1,1,2015Q2
111,22.589426,120.385147,270,60,1,1,2015Q2
112,22.589549,120.492316,0,70,1,1,2015Q2
113,22.589713,120.492349,180,70,1,1,2015Q2
114,22.590247,120.358398,90,60,1,1,2015Q2
115,22.590414,120.359259,270,60,1,1,2015Q2
116,22.592179,120.306148,180,60,1,1,2015Q2
117,22.59258,120.43336,270,90,1,1,2015Q2
118,22.592654,120.308089,270,50,1,1,2015Q2
119,22.593374,120.309192,90,50,1,1,2015Q2
120,22.594521,120.359183,0,60,1,1,2015Q2
121,22.595797,120.339656,0,50,1,1,2015Q2
122,22.59648,120.401175,180,50,6,1,2015Q2
123,22.597869,120.342021,315,60,6,1,2015Q2
124,22.598006,120.360167,180,60,1,1,2015Q2
125,22.599479,120.303375,0,60,1,1,2015Q2
126,22.599984,120.312907,315,60,1,1,2015Q2
127,22.601135,120.417619,180,60,6,1,2015Q2
128,22.60171,120.306589,0,50,1,1,2015Q2
129,22.602107,120.33324,225,50,6,1,2015Q2
130,22.603391,120.323604,45,50,1,1,2015Q2
131,22.604411,120.31476,225,50,1,1,2015Q2
132,22.604578,120.309279,135,60,1,1,2015Q2
133,22.605686,120.338478,90,50,6,1,2015Q2
134,22.606026,120.33834,270,50,1,1,2015Q2
135,22.606109,120.308023,135,60,1,1,2015Q2
136,22.606112,120.308021,315,60,1,1,2015Q2
137,22.606534,120.346715,45,60,6,1,2015Q2
138,22.606663,120.345701,180,50,6,1,2015Q2
139,22.607029,120.320377,135,50,1,1,2015Q2
140,22.607708,120.362666,180,60,6,1,2015Q2
141,22.608528,120.316927,315,50,1,1,2015Q2
142,22.610486,120.313368,225,60,1,1,2015Q2
143,22.611279,120.413459,0,60,6,1,2015Q2
144,22.611429,120.305572,0,60,1,1,2015Q2
145,22.612111,120.326916,180,50,1,1,2015Q2
146,22.612665,120.317946,0,60,1,1,2015Q2
147,22.613111,120.314298,0,60,1,1,2015Q2
148,22.615315,120.322591,0,50,1,1,2015Q2
149,22.61564,120.309525,90,50,1,1,2015Q2
150,22.616442,120.31829,0,50,1,1,2015Q2
