3425,,,,,,,
80,,,,,,,
UID,Y,X,BEARING_ANGLE,SPEED_RESTRICTION,CAMERA_TYPE,DIR_TYPE,Version
1,40.13198967,44.48454648,229,60,1,1,20150305
2,40.13392551,44.47608143,136,60,1,1,20150305
3,40.1365585,44.47285742,317,60,1,1,20150305
4,40.13956458,44.51055586,3,60,1,1,20150305
5,40.14578274,44.51013744,350,60,1,1,20150305
6,40.14584117,44.509947,178,60,1,1,20150305
7,40.1483688,44.47012156,66,60,1,1,20150305
8,40.14965427,44.47396919,67,60,1,1,20150305
9,40.15025907,44.47310954,227,40,1,1,20150305
10,40.15196479,44.17586446,256,90,1,1,20150305
11,40.15354745,44.53950226,62,60,1,1,20150305
12,40.15625553,44.47343811,115,60,1,1,20150305
13,40.15635598,44.45734888,98,80,1,1,20150305
14,40.15661018,44.47256371,292,60,1,1,20150305
15,40.15669423,44.50159863,27,70,1,1,20150305
16,40.15671268,44.50172603,199,70,1,1,20150305
17,40.15685823,44.45826486,252,70,1,1,20150305
18,40.15740966,44.54046786,180,60,1,1,20150305
19,40.1577643,44.46277633,76,70,1,1,20150305
20,40.16056446,44.29451868,351,40,1,1,20150305
21,40.16150738,44.42391112,301,60,1,1,20150305
22,40.16326201,44.44107726,159,60,1,1,20150305
23,40.16396098,44.40868288,85,60,1,1,20150305
24,40.16485466,44.36372101,91,60,1,1,20150305
25,40.16808495,44.54687297,219,60,1,1,20150305
26,40.16866704,44.52611804,46,40,1,1,20150305
27,40.16866772,44.52611804,222,40,1,1,20150305
28,40.18110428,44.45998549,15,60,1,1,20150305
29,40.18110428,44.45998549,193,60,1,1,20150305
30,40.18233244,44.481529,313,60,1,1,20150305
31,40.18418489,44.48008597,170,60,1,1,20150305
32,40.18544715,44.5028767,48,60,1,1,20150305
33,40.19093168,44.46744204,86,60,1,1,20150305
34,40.19094671,44.4652158,266,60,1,1,20150305
35,40.19302156,44.48505878,230,60,1,1,20150305
36,40.19302156,44.48505342,54,60,1,1,20150305
37,40.19329201,44.48994577,118,40,1,1,20150305
38,40.19334529,44.48992968,293,40,1,1,20150305
39,40.19370042,44.522717,255,70,1,1,20150305
40,40.19435605,44.51813847,288,60,1,1,20150305
41,40.1947945,44.53593224,45,70,1,1,20150305
42,40.19534358,44.53865737,283,60,1,1,20150305
43,40.19618358,44.51664984,218,60,1,1,20150305
44,40.19628602,44.5130758,140,60,1,1,20150305
45,40.19657968,44.4907558,233,60,1,1,20150305
77,40.38886062,49.87146825,84,60,1,1,20150305
78,40.38902202,49.87135291,269,60,1,1,20150305
79,40.39168595,49.86396343,96,60,1,1,20150305
80,40.3921456,49.81511503,196,60,1,1,20150305
81,40.39368997,49.84649688,41,60,1,1,20150305
82,40.39381253,49.84644055,219,60,1,1,20150305
83,40.3946991,49.86161381,312,60,1,1,20150305
84,40.398856,49.84296441,256,60,1,1,20150305
85,40.40111921,49.80974793,151,60,1,1,20150305
86,40.40117231,49.8098579,322,60,1,1,20150305
87,40.41095143,49.84684289,163,60,1,1,20150305
88,40.41294465,49.84680533,343,60,1,1,20150305
89,40.41389632,49.9020642,58,60,1,1,20150305
90,40.41415772,49.9018845,238,60,1,1,20150305
91,40.43733242,49.76571679,107,70,1,1,20150305
92,40.43741407,49.76575971,286,60,1,1,20150305
93,40.44287682,49.72865403,273,60,1,1,20150305
94,40.45334381,49.67718512,112,70,1,1,20150305
95,40.45343158,49.67724949,291,70,1,1,20150305
96,40.45822261,49.661403,291,70,1,1,20150305
97,40.46153991,49.65070367,291,70,1,1,20150305
98,40.46288066,49.74810541,135,50,1,1,20150305
99,40.46307657,49.74816978,313,50,1,1,20150305
100,40.46747411,49.63299572,116,60,1,1,20150305
101,40.46754349,49.633044,295,60,1,1,20150305
102,40.4883274,49.72006023,140,110,1,1,20150305
103,40.48841511,49.72020507,318,110,1,1,20150305
104,40.50629059,49.70543146,154,110,1,1,20150305
105,40.50640684,49.70557362,338,110,1,1,20150305
106,40.50992058,49.70233351,139,110,1,1,20150305
107,40.51914967,49.69099581,140,70,1,1,20150305
108,40.51922715,49.69114602,315,70,1,1,20150305
109,40.53754695,44.9247694,281,90,1,1,20150305
110,40.58061726,44.35931683,356,60,1,1,20150305
111,40.59805269,44.35483217,183,60,1,1,20150305
112,40.66153134,44.88852739,160,50,1,1,20150305
113,40.71797301,44.85249996,176,50,1,1,20150305
114,41.7135937,44.76882577,267,70,1,1,20150305
115,41.72648668,44.75565344,262,60,1,1,20150305
116,41.73736963,44.77133095,345,70,1,1,20150305
117,41.73807614,44.75721717,220,80,1,1,20150305
118,41.78572307,44.7906509,97,70,1,1,20150305
119,41.78575307,44.79065359,278,70,1,1,20150305
120,42.94337,47.57304,327,60,1,1,20150305
121,42.9713378,47.53115773,116,60,1,1,20150305
122,42.97483,47.52012,296,60,1,1,20150305
46,40.19816677,44.47933495,185,60,1,1,20150305
47,40.19930584,44.50828403,297,60,1,1,20150305
48,40.19934818,44.50315297,243,40,1,1,20150305
49,40.2001499,44.5405966,242,40,1,1,20150305
50,40.2046363,44.55550164,59,60,1,1,20150305
51,40.20848332,44.4943285,147,60,1,1,20150305
52,40.20883154,44.53523487,144,60,1,1,20150305
53,40.20988441,44.44929421,302,60,1,1,20150305
54,40.21031866,44.49266821,325,60,1,1,20150305
55,40.21053169,44.53377306,326,60,1,1,20150305
56,40.21595753,44.5557712,279,60,1,1,20150305
57,40.21844602,44.49906528,226,60,1,1,20150305
58,40.21873276,44.53123838,180,60,1,1,20150305
59,40.21923659,44.53149587,1,60,1,1,20150305
60,40.22045313,44.5790568,86,60,1,1,20150305
61,40.22050638,44.57800537,268,60,1,1,20150305
62,40.22286159,44.45429921,134,60,1,1,20150305
63,40.22382822,44.5599407,340,70,1,1,20150305
64,40.22888235,44.53967392,235,80,1,1,20150305
65,40.23887482,44.56604272,239,70,1,1,20150305
66,40.31014709,49.82029438,176,60,1,1,20150305
67,40.31016958,49.82043922,7,60,1,1,20150305
68,40.33729541,49.82827932,73,60,1,1,20150305
69,40.33736901,49.82822299,248,60,1,1,20150305
70,40.35386205,49.80179787,82,60,1,1,20150305
71,40.3539663,49.80188102,261,60,1,1,20150305
72,40.35606954,49.83411312,185,60,1,1,20150305
73,40.35607363,49.83437061,355,60,1,1,20150305
74,40.36734704,49.83915031,51,60,1,1,20150305
75,40.3675841,49.83919859,232,60,1,1,20150305
76,40.38764098,44.65913147,219,70,1,1,20150305
167,43.23843241,76.97158583,26,80,1,1,20150305
168,43.2384852,76.97147548,212,80,1,1,20150305
169,43.23924335,76.90406621,355,60,1,1,20150305
170,43.23942312,76.90398574,84,60,1,1,20150305
171,43.23971817,76.90394014,174,60,1,1,20150305
172,43.23973184,76.90395087,266,60,1,1,20150305
173,43.24002689,76.83308423,253,60,1,1,20150305
174,43.24032976,76.9181022,85,60,1,1,20150305
175,43.24092424,76.92708358,84,60,1,1,20150305
176,43.24110938,76.83893278,345,60,1,1,20150305
177,43.24118324,76.92760125,265,60,1,1,20150305
178,43.24126374,76.92731291,174,60,1,1,20150305
179,43.24222506,76.94829315,175,60,1,1,20150305
180,43.24269986,76.94830388,355,60,1,1,20150305
181,43.2456052,76.85578376,70,60,1,1,20150305
123,43.05767933,131.8993305,41,60,1,1,20150305
124,43.07026192,131.926005,277,60,1,1,20150305
125,43.10884737,131.896534,180,60,1,1,20150305
126,43.11131716,131.8967368,4,60,1,1,20150305
127,43.14088239,131.9100657,340,60,1,1,20150305
128,43.14096264,131.9098122,146,60,1,1,20150305
129,43.16213519,131.9126473,196,60,1,1,20150305
130,43.17524011,131.9180453,15,60,1,1,20150305
131,43.17527923,131.9177663,194,60,1,1,20150305
132,43.18977371,131.9241701,41,80,1,1,20150305
133,43.18986562,131.9240279,213,80,1,1,20150305
134,43.19382917,131.9375074,80,80,1,1,20150305
135,43.19394532,131.937413,239,80,1,1,20150305
136,43.1963343,76.98430181,153,60,1,1,20150305
137,43.19977616,76.90357778,55,80,1,1,20150305
138,43.2008041,76.90572381,331,60,1,1,20150305
139,43.2009175,76.90544486,151,60,1,1,20150305
140,43.20126358,76.90791786,257,80,1,1,20150305
141,43.20666557,76.91383213,6,60,1,1,20150305
142,43.20786399,76.86351389,320,60,1,1,20150305
143,43.20789332,76.86307132,232,60,1,1,20150305
144,43.20804972,76.8634361,68,60,1,1,20150305
145,43.20816115,76.86283529,138,60,1,1,20150305
146,43.20833906,76.97156936,129,40,1,1,20150305
147,43.20855215,76.97132796,317,40,1,1,20150305
148,43.20966843,76.91686571,46,80,1,1,20150305
149,43.20977399,76.91667259,225,80,1,1,20150305
150,43.21049731,131.9504155,216,80,1,1,20150305
151,43.21565597,76.92483981,231,80,1,1,20150305
152,43.21824413,131.9607903,225,80,1,1,20150305
153,43.21978829,76.85147882,326,60,1,1,20150305
154,43.22005998,76.85109526,146,60,1,1,20150305
155,43.22396516,131.9789703,261,80,1,1,20150305
156,43.22582579,76.94097608,316,60,1,1,20150305
157,43.2261424,76.94036722,138,60,1,1,20150305
158,43.22660755,131.9995013,233,90,1,1,20150305
159,43.22800884,76.94983274,86,80,1,1,20150305
160,43.22815346,76.95065886,263,80,1,1,20150305
161,43.22873976,76.9601512,84,80,1,1,20150305
162,43.22897428,76.96086466,265,80,1,1,20150305
163,43.2326776,76.9370842,352,60,1,1,20150305
164,43.23276749,76.93679452,170,60,1,1,20150305
165,43.23715255,76.9279781,85,60,1,1,20150305
166,43.2371545,76.92795128,264,60,1,1,20150305
257,43.61968907,39.71562445,333,60,1,1,20150305
258,43.623886,39.716765,344,60,1,1,20150305
182,43.24605848,132.041506,222,90,1,1,20150305
183,43.24607606,132.0413397,13,90,1,1,20150305
184,43.24701191,76.86156392,256,60,1,1,20150305
185,43.24744759,76.86492741,75,60,1,1,20150305
186,43.2477934,76.84260339,59,60,1,1,20150305
187,43.24788132,76.8425256,237,60,1,1,20150305
188,43.24865694,76.93339348,177,60,1,1,20150305
189,43.24894022,76.93346322,355,60,1,1,20150305
190,43.25112635,76.893159,84,60,1,1,20150305
191,43.25163819,76.85514271,255,60,1,1,20150305
192,43.2535644,76.83956981,25,40,1,1,20150305
193,43.25362105,76.83944374,202,40,1,1,20150305
194,43.25859648,132.0620947,44,90,1,1,20150305
195,43.25866876,132.0620008,224,90,1,1,20150305
196,43.25891683,76.88687325,65,60,1,1,20150305
197,43.25928406,76.88704491,243,60,1,1,20150305
198,43.26369651,76.94058582,265,60,1,1,20150305
199,43.26417114,76.94550768,178,60,1,1,20150305
200,43.26710866,132.0789443,77,90,1,1,20150305
201,43.26723952,76.94521263,356,60,1,1,20150305
202,43.26729225,132.0788772,255,90,1,1,20150305
203,43.27078232,76.95119798,85,40,1,1,20150305
204,43.27118659,76.95105046,155,40,1,1,20150305
205,43.27706472,132.0961949,12,90,1,1,20150305
206,43.2770862,132.0960139,203,90,1,1,20150305
207,43.2794783,76.98518157,17,80,1,1,20150305
208,43.27955641,76.98500991,199,80,1,1,20150305
209,43.29324326,76.9688791,92,60,1,1,20150305
210,43.2932784,76.94447637,84,60,1,1,20150305
211,43.29334869,76.96890056,270,60,1,1,20150305
212,43.29335454,76.94426179,250,60,1,1,20150305
213,43.29587094,76.99816883,226,60,1,1,20150305
214,43.29764,45.85806,299,50,1,1,20150305
215,43.29771,45.85744,119,50,1,1,20150305
216,43.30680407,76.89754039,21,60,1,1,20150305
217,43.30695826,76.89755917,201,60,1,1,20150305
218,43.31100229,132.0886137,178,90,1,1,20150305
219,43.31100424,132.0887934,357,90,1,1,20150305
220,43.31106474,76.95543051,184,50,1,1,20150305
221,43.32938244,76.97711885,21,60,1,1,20150305
222,43.32944877,76.97690427,198,60,1,1,20150305
223,43.3360314,132.078487,151,90,1,1,20150305
224,43.34578,46.06798,69,60,1,1,20150305
225,43.34608,46.06858,249,60,1,1,20150305
226,43.35175542,132.1082407,254,60,1,1,20150305
227,43.35177103,132.1083212,73,60,1,1,20150305
228,43.36677926,77.08699286,47,70,1,1,20150305
259,43.62508299,39.71930981,330,60,1,1,20150305
260,43.62509586,39.71915329,150,60,1,1,20150305
261,43.62687827,39.7668643,6,60,1,1,20150305
262,43.62693522,39.70992476,327,60,1,1,20150305
263,43.628688,39.715627,157,60,1,1,20150305
264,43.6300998,39.76305664,90,60,1,1,20150305
265,43.630152,39.714874,333,60,1,1,20150305
266,43.630486,39.714699,168,60,1,1,20150305
267,43.64202275,40.12333632,247,90,1,1,20150305
268,43.64499438,40.13264626,75,90,1,1,20150305
269,43.67090599,40.20494521,82,90,1,1,20150305
270,43.67677641,40.28417498,328,60,1,1,20150305
271,43.83262646,39.42118657,141,90,1,1,20150305
272,43.83266226,39.42122465,310,90,1,1,20150305
273,43.89899533,39.34434128,135,60,1,1,20150305
274,43.90946192,39.32974148,130,60,1,1,20150305
275,44.10566556,39.07513659,157,60,1,1,20150305
276,44.10695672,39.080369,59,60,1,1,20150305
